Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Admin_Complete,Chrome 143.0.7499.170,"Complete Admin Test Suite - All User, Property, Review, and Filter Management Tests",,09-01-2026 18:26:49,09-01-2026 18:37:57,11m - 7.689s,ERROR
,,,,,,,
Test Cases/Admin/TC_ADM_AdminAccessRequired,Chrome 143.0.7499.170,Test Case: Admin Access Required - Verifies that only admin users can access the Users Management page,"security,access,admin,users",09-01-2026 18:26:50,09-01-2026 18:27:12,21.788s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:26:51,09-01-2026 18:26:55,4.289s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:26:55,0.073s,PASSED
userHelper = new admin.User_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:26:55,0.018s,PASSED
"usersUrl = ""http://localhost:5173/admin/users""",Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:26:55,0.003s,PASSED
"loginUrl = ""http://localhost:5173/login""",Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:26:55,0.003s,PASSED
"homeUrl = ""http://localhost:5173""",Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:26:55,0.003s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:26:55,09-01-2026 18:27:11,16.019s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:27:11,09-01-2026 18:27:12,0.284s,PASSED
,,,,,,,
Test Cases/Admin/UserManagement/TC_ADM_USER_001_ViewUsersPage,Chrome 143.0.7499.170,Test Case: View Users Management Page - Verifies that admin can access and view the Users Management page,"admin,users,view,positive",09-01-2026 18:27:12,09-01-2026 18:27:27,15.631s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:27:12,09-01-2026 18:27:13,1.641s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:27:13,09-01-2026 18:27:13,0.002s,PASSED
