Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Agent_Complete,Chrome 143.0.7499.170,Complete Agent Test Suite - All CRUD Operations for Agent Management,,09-01-2026 18:38:02,09-01-2026 18:45:42,7m - 40.004s,FAILED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_001_Create_Agent_Valid_Data,Chrome 143.0.7499.170,Verify that an agent can be created successfully with valid data,,09-01-2026 18:38:03,09-01-2026 18:39:25,1m - 21.993s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:38:05,09-01-2026 18:38:09,4.384s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:38:09,09-01-2026 18:38:10,0.057s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:38:10,09-01-2026 18:38:10,0.014s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:38:10,09-01-2026 18:39:25,1m - 15.417s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:39:25,09-01-2026 18:39:25,0.348s,PASSED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_002_Create_Agent_Duplicate_Email,Chrome 143.0.7499.170,Verify that creating an agent with duplicate email returns an error,,09-01-2026 18:39:25,09-01-2026 18:41:00,1m - 34.862s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:39:25,09-01-2026 18:39:27,1.629s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:39:27,09-01-2026 18:39:27,0.004s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:39:27,09-01-2026 18:39:27,0.004s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:39:27,09-01-2026 18:41:00,1m - 32.643s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:41:00,09-01-2026 18:41:00,0.467s,PASSED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_003_Create_Agent_Missing_Required_Fields,Chrome 143.0.7499.170,Verify that creating an agent with missing required fields returns an error,,09-01-2026 18:41:00,09-01-2026 18:41:45,45.278s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:41:00,09-01-2026 18:41:02,1.508s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:41:02,09-01-2026 18:41:02,0.002s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:41:02,09-01-2026 18:41:02,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:41:02,09-01-2026 18:41:41,39.109s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:41:41,09-01-2026 18:41:45,4.568s,PASSED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_004_Create_Agent_Invalid_Email,Chrome 143.0.7499.170,Verify that creating an agent with invalid email format returns an error,,09-01-2026 18:41:45,09-01-2026 18:42:38,52.659s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:41:46,09-01-2026 18:41:47,1.514s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:41:47,09-01-2026 18:41:47,0.002s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:41:47,09-01-2026 18:41:47,0.001s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:41:47,09-01-2026 18:42:32,44.874s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:42:32,09-01-2026 18:42:38,6.161s,PASSED
,,,,,,,
Test Cases/Agent/Read/TC_AGENT_006_View_All_Agents,Chrome 143.0.7499.170,Verify that all agents are displayed on the Agent listing page,,09-01-2026 18:42:38,09-01-2026 18:42:42,4.105s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:42:38,09-01-2026 18:42:40,1.472s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:42:40,09-01-2026 18:42:40,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:42:40,09-01-2026 18:42:42,2.369s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:42:42,09-01-2026 18:42:42,0.213s,PASSED
,,,,,,,
Test Cases/Agent/Read/TC_AGENT_007_View_Agent_Details,Chrome 143.0.7499.170,Verify that agent details are displayed correctly on agent cards,,09-01-2026 18:42:42,09-01-2026 18:42:49,6.648s,FAILED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:42:42,09-01-2026 18:42:44,1.465s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:42:44,09-01-2026 18:42:44,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:42:44,09-01-2026 18:42:49,4.864s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:42:49,09-01-2026 18:42:49,0.239s,FAILED
,,,,,,,
Test Cases/Agent/Update/TC_AGENT_008_Update_Agent_Valid_Data,Chrome 143.0.7499.170,Verify that an agent can be updated successfully with valid data,,09-01-2026 18:42:49,09-01-2026 18:43:56,1m - 6.801s,PASSED
Browser_Keywords().openBrowserWithFallback(),Chrome 143.0.7499.170,,,09-01-2026 18:42:49,09-01-2026 18:42:51,1.549s,PASSED
agentHelper = new agent.Agent_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:42:51,09-01-2026 18:42:51,0.002s,PASSED
