Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DeveloperProperties_Complete,Chrome 143.0.7499.170,Complete Developer Properties Test Suite - All Project and Property Management Tests,,09-01-2026 18:53:49,09-01-2026 19:03:10,9m - 21.892s,ERROR
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_001_Create_Project_Valid_Data,Chrome 143.0.7499.170,Verify successful creation of a project with valid data,"developer-properties,projects,positive",09-01-2026 18:53:50,09-01-2026 18:54:25,35.002s,PASSED
"DATA BINDING - {""(Default) devel..."":""507f1f77bcf86cd799439011"",""(Default) proje..."":""New York, NY""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:53:51,09-01-2026 18:53:55,4.329s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:53:55,09-01-2026 18:53:55,0.061s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:53:55,09-01-2026 18:53:55,0.017s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:53:55,09-01-2026 18:54:24,29.057s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:54:24,09-01-2026 18:54:25,0.267s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_003_Get_All_Projects,Chrome 143.0.7499.170,Verify retrieval of all projects,"developer-properties, projects, positive",09-01-2026 18:54:25,09-01-2026 18:54:43,18.266s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:54:25,09-01-2026 18:54:26,1.592s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:54:26,09-01-2026 18:54:26,0.002s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:54:26,09-01-2026 18:54:26,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:54:26,09-01-2026 18:54:43,16.246s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:54:43,09-01-2026 18:54:43,0.358s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_004_Get_Project_By_Valid_Id,Chrome 143.0.7499.170,Verify retrieval of a project by valid ID,"developer-properties, projects, positive",09-01-2026 18:54:43,09-01-2026 18:55:02,19.039s,PASSED
"DATA BINDING - {""(Default) proje..."":""507f1f77bcf86cd799439011""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:54:43,09-01-2026 18:54:44,1.488s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:54:44,09-01-2026 18:54:44,0.004s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:54:44,09-01-2026 18:54:44,0.003s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:54:44,09-01-2026 18:55:01,16.254s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:55:01,09-01-2026 18:55:02,1.226s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_005_Get_Project_By_Invalid_Id,Chrome 143.0.7499.170,Verify error handling when retrieving project by invalid ID,"developer-properties, projects, negative",09-01-2026 18:55:02,09-01-2026 18:55:19,17.094s,FAILED
"DATA BINDING - {""(Default) proje..."":""invalid_project_id""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:55:02,09-01-2026 18:55:03,1.495s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:55:03,09-01-2026 18:55:03,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:55:03,09-01-2026 18:55:17,13.939s,FAILED
catch (Exception e),Chrome 143.0.7499.170,,,09-01-2026 18:55:17,09-01-2026 18:55:17,0.031s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:55:17,09-01-2026 18:55:19,1.545s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_007_Delete_Project_Valid_Id,Chrome 143.0.7499.170,Verify successful deletion of a project with valid ID,"developer-properties,projects,positive",09-01-2026 18:55:19,09-01-2026 18:56:07,48.294s,PASSED
"DATA BINDING - {""(Default) proje..."":""507f1f77bcf86cd799439011""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:55:19,09-01-2026 18:55:20,1.377s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:55:20,09-01-2026 18:55:20,0.001s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:55:20,09-01-2026 18:55:20,0.003s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:55:20,09-01-2026 18:56:07,46.484s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:56:07,09-01-2026 18:56:07,0.357s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_045_Signup_As_User_Cannot_Access_MyProjects,Chrome 143.0.7499.170,Verify user signup (not developer) cannot access My Projects page - negative test,"myprojects,negative,signup,user,should-fail",09-01-2026 18:56:07,09-01-2026 18:56:45,38.140s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:56:07,09-01-2026 18:56:09,1.445s,PASSED
registerHelper = new authentication.Register_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:56:09,09-01-2026 18:56:09,0.015s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:56:09,09-01-2026 18:56:09,0.003s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:56:09,09-01-2026 18:56:45,36.275s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:56:45,09-01-2026 18:56:45,0.278s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_038_Update_Project_Valid_Data,Chrome 143.0.7499.170,Verify successful update of a project with valid data,"developer-properties,projects,positive",09-01-2026 18:56:45,09-01-2026 18:57:54,1m - 8.757s,FAILED
