Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Navigation_Complete,Chrome 143.0.7499.170,Complete test suite for Navigation - All navigation test cases,,09-01-2026 19:03:18,09-01-2026 19:05:33,2m - 14.878s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_001_NavigateToBuy,Chrome 143.0.7499.170,Navigate to Buy page from home using main navigation,"navigation,main-nav,positive",09-01-2026 19:03:19,09-01-2026 19:03:30,11.484s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:03:19,09-01-2026 19:03:19,0.014s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:03:19,09-01-2026 19:03:26,6.675s,PASSED
"navKW.clickMainNavLink(""Buy"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:26,09-01-2026 19:03:29,3.278s,PASSED
"navKW.verifyCurrentUrl(""/buy"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:29,09-01-2026 19:03:29,0.085s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:03:29,09-01-2026 19:03:30,0.826s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_002_NavigateToRent,Chrome 143.0.7499.170,Navigate to Rent page from home using main navigation,"navigation,main-nav,positive",09-01-2026 19:03:30,09-01-2026 19:03:38,7.409s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:03:30,09-01-2026 19:03:30,0.002s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:03:30,09-01-2026 19:03:34,4.021s,PASSED
"navKW.clickMainNavLink(""Rent"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:34,09-01-2026 19:03:37,3.016s,PASSED
"navKW.verifyCurrentUrl(""/rent"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:37,09-01-2026 19:03:37,0.027s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:03:37,09-01-2026 19:03:38,0.294s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_003_NavigateToSell,Chrome 143.0.7499.170,Navigate to Sell page from home using main navigation,"navigation,main-nav,positive",09-01-2026 19:03:38,09-01-2026 19:03:45,7.325s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:03:38,09-01-2026 19:03:38,0.001s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:03:38,09-01-2026 19:03:42,4.013s,PASSED
"navKW.clickMainNavLink(""Sell"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:42,09-01-2026 19:03:45,2.957s,PASSED
"navKW.verifyCurrentUrl(""/sell"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:45,09-01-2026 19:03:45,0.032s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:03:45,09-01-2026 19:03:45,0.277s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_004_NavigateToAgents,Chrome 143.0.7499.170,Navigate to Agents page from home using main navigation,"navigation,main-nav,positive",09-01-2026 19:03:45,09-01-2026 19:03:53,7.616s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:03:45,09-01-2026 19:03:45,0.002s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:03:45,09-01-2026 19:03:49,4.033s,PASSED
"navKW.clickMainNavLink(""Agents"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:49,09-01-2026 19:03:52,2.956s,PASSED
"navKW.verifyCurrentUrl(""/agent"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:52,09-01-2026 19:03:52,0.039s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:03:52,09-01-2026 19:03:53,0.544s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_005_NavigateToNewProjects,Chrome 143.0.7499.170,Navigate to New Projects (Developer Properties) page from home,"navigation,main-nav,positive",09-01-2026 19:03:53,09-01-2026 19:04:00,7.417s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:03:53,09-01-2026 19:03:53,0.002s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:03:53,09-01-2026 19:03:57,3.955s,PASSED
"navKW.clickMainNavLink(""NewProjects"")",Chrome 143.0.7499.170,,,09-01-2026 19:03:57,09-01-2026 19:04:00,3.010s,PASSED
"navKW.verifyCurrentUrl(""/developer-properties"")",Chrome 143.0.7499.170,,,09-01-2026 19:04:00,09-01-2026 19:04:00,0.024s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:04:00,09-01-2026 19:04:00,0.383s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_006_NavigateToHome,Chrome 143.0.7499.170,Navigate back to Home page by clicking logo,"navigation,main-nav,positive",09-01-2026 19:04:00,09-01-2026 19:04:12,11.775s,PASSED
navKW = new navigation.Navigation_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:04:00,09-01-2026 19:04:00,0.002s,PASSED
navKW.openHomePage(),Chrome 143.0.7499.170,,,09-01-2026 19:04:00,09-01-2026 19:04:04,3.943s,PASSED
"navKW.clickMainNavLink(""Buy"")",Chrome 143.0.7499.170,,,09-01-2026 19:04:04,09-01-2026 19:04:07,3.074s,PASSED
navKW.clickLogo(),Chrome 143.0.7499.170,,,09-01-2026 19:04:07,09-01-2026 19:04:10,2.966s,PASSED
"navKW.verifyCurrentUrl(""/"")",Chrome 143.0.7499.170,,,09-01-2026 19:04:10,09-01-2026 19:04:10,0.025s,PASSED
