Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Notification_Complete,Chrome 143.0.7499.170,Complete test suite for Notifications - All notification test cases,,09-01-2026 19:05:38,09-01-2026 19:09:37,3m - 58.817s,PASSED
,,,,,,,
Test Cases/Notification/TC_NOTIF_001_ViewNotifications,Chrome 143.0.7499.170,View notifications page and verify notifications are displayed,"notification,view,positive",09-01-2026 19:05:39,09-01-2026 19:05:57,17.247s,PASSED
notif = new notification.NotificationHelper(),Chrome 143.0.7499.170,,,09-01-2026 19:05:40,09-01-2026 19:05:40,0.016s,PASSED
notif.loginAsReviewUser(),Chrome 143.0.7499.170,,,09-01-2026 19:05:40,09-01-2026 19:05:53,12.667s,PASSED
notif.navigateToNotifications(),Chrome 143.0.7499.170,,,09-01-2026 19:05:53,09-01-2026 19:05:56,3.013s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Notification/pageTitle""), 10)",Chrome 143.0.7499.170,,,09-01-2026 19:05:56,09-01-2026 19:05:56,0.292s,PASSED
count = notif.getNotificationCount(),Chrome 143.0.7499.170,,,09-01-2026 19:05:56,09-01-2026 19:05:56,0.289s,PASSED
comment(Total notifications: $count),Chrome 143.0.7499.170,,,09-01-2026 19:05:56,09-01-2026 19:05:56,0.017s,PASSED
"verifyGreaterThan(count, 0)",Chrome 143.0.7499.170,,,09-01-2026 19:05:56,09-01-2026 19:05:56,0.023s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:05:56,09-01-2026 19:05:57,0.324s,PASSED
,,,,,,,
Test Cases/Notification/TC_NOTIF_002_MarkAsRead,Chrome 143.0.7499.170,Mark an unread notification as read,"notification,mark-read,positive",09-01-2026 19:05:57,09-01-2026 19:06:29,31.927s,PASSED
notif = new notification.NotificationHelper(),Chrome 143.0.7499.170,,,09-01-2026 19:05:57,09-01-2026 19:05:57,0.002s,PASSED
