Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Profile_Complete,Chrome 143.0.7499.170,Complete Profile Test Suite - All Profile Edit and Validation Tests,,09-01-2026 19:09:44,09-01-2026 19:15:34,5m - 50.238s,PASSED
,,,,,,,
Test Cases/Profile/Edit/TC_PROF_001_UpdateAllFields,Chrome 143.0.7499.170,Update all personal information fields with valid data,"edit,profile,positive",09-01-2026 19:09:45,09-01-2026 19:10:40,54.937s,PASSED
profileKW = new profile.Profile_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:09:45,09-01-2026 19:09:45,0.054s,PASSED
profileKW.loginAndNavigateToProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:09:45,09-01-2026 19:10:11,25.154s,PASSED
"profileKW.fillAllPersonalInfo(""UpdatedFirstName"", ""UpdatedLastName"", ""+971599584375"", ""+971501234567"", ""contact@example.com"")",Chrome 143.0.7499.170,,,09-01-2026 19:10:11,09-01-2026 19:10:19,8.112s,PASSED
profileKW.clickSaveChanges(),Chrome 143.0.7499.170,,,09-01-2026 19:10:19,09-01-2026 19:10:21,2.546s,PASSED
profileKW.restoreOriginalProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:10:21,09-01-2026 19:10:39,18.032s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:10:39,09-01-2026 19:10:40,0.296s,PASSED
,,,,,,,
Test Cases/Profile/Edit/TC_PROF_002_UpdateFirstName,Chrome 143.0.7499.170,Update only first name field,"edit,profile,positive",09-01-2026 19:10:40,09-01-2026 19:11:23,43.711s,PASSED
profileKW = new profile.Profile_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:10:40,09-01-2026 19:10:40,0.002s,PASSED
profileKW.loginAndNavigateToProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:10:40,09-01-2026 19:11:01,21.529s,PASSED
"profileKW.fillFirstName(""NewFirstName"")",Chrome 143.0.7499.170,,,09-01-2026 19:11:01,09-01-2026 19:11:03,1.584s,PASSED
profileKW.clickSaveChanges(),Chrome 143.0.7499.170,,,09-01-2026 19:11:03,09-01-2026 19:11:05,2.508s,PASSED
profileKW.restoreOriginalProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:11:05,09-01-2026 19:11:23,17.731s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:11:23,09-01-2026 19:11:23,0.309s,PASSED
,,,,,,,
Test Cases/Profile/Edit/TC_PROF_003_UpdateLastName,Chrome 143.0.7499.170,Update only last name field,"profile,edit,positive",09-01-2026 19:11:23,09-01-2026 19:12:07,43.473s,PASSED
profileKW = new profile.Profile_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:11:23,09-01-2026 19:11:23,0.002s,PASSED
profileKW.loginAndNavigateToProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:11:23,09-01-2026 19:11:45,21.410s,PASSED
"profileKW.fillLastName(""NewLastName"")",Chrome 143.0.7499.170,,,09-01-2026 19:11:45,09-01-2026 19:11:46,1.459s,PASSED
profileKW.clickSaveChanges(),Chrome 143.0.7499.170,,,09-01-2026 19:11:46,09-01-2026 19:11:49,2.499s,PASSED
profileKW.restoreOriginalProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:11:49,09-01-2026 19:12:07,17.783s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:12:07,09-01-2026 19:12:07,0.281s,PASSED
,,,,,,,
Test Cases/Profile/Edit/TC_PROF_004_UpdatePhoneNumber,Chrome 143.0.7499.170,Update phone number with valid format,"profile,edit,positive",09-01-2026 19:12:07,09-01-2026 19:12:50,43.569s,PASSED
profileKW = new profile.Profile_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:12:07,09-01-2026 19:12:07,0.002s,PASSED
profileKW.loginAndNavigateToProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:12:07,09-01-2026 19:12:28,21.264s,PASSED
"profileKW.fillPhoneNumber(""+971509876543"")",Chrome 143.0.7499.170,,,09-01-2026 19:12:28,09-01-2026 19:12:30,1.498s,PASSED
profileKW.clickSaveChanges(),Chrome 143.0.7499.170,,,09-01-2026 19:12:30,09-01-2026 19:12:32,2.469s,PASSED
profileKW.restoreOriginalProfile(),Chrome 143.0.7499.170,,,09-01-2026 19:12:32,09-01-2026 19:12:50,17.871s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:12:50,09-01-2026 19:12:50,0.418s,PASSED
,,,,,,,
Test Cases/Profile/Edit/TC_PROF_005_CancelEdit,Chrome 143.0.7499.170,Cancel editing without saving changes,"profile,edit,positive",09-01-2026 19:12:50,09-01-2026 19:13:26,35.339s,PASSED
profileKW = new profile.Profile_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:12:50,09-01-2026 19:12:50,0.001s,PASSED
