Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Review_Complete,Chrome 143.0.7499.170,Complete Review Test Suite - All Review Creation and Deletion Tests,,09-01-2026 19:18:55,09-01-2026 19:22:54,3m - 58.607s,PASSED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR1_1Star,Chrome 143.0.7499.170,Create Review with 1 Star Rating,"review,create,1star",09-01-2026 19:18:56,09-01-2026 19:19:23,26.820s,PASSED
reviewKW = new review.Review_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:18:57,09-01-2026 19:18:57,0.065s,PASSED
"reviewKW.createReview(""Test User 1Star"", 1, ""Review with 1 star rating"")",Chrome 143.0.7499.170,,,09-01-2026 19:18:57,09-01-2026 19:19:23,25.769s,PASSED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR2_2Star,Chrome 143.0.7499.170,Create Review with 2 Star Rating,"2star,review,create",09-01-2026 19:19:23,09-01-2026 19:19:44,21.060s,PASSED
reviewKW = new review.Review_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:19:23,09-01-2026 19:19:23,0.003s,PASSED
"reviewKW.createReview(""Test User 2Star"", 2, ""Review with 2 star rating"")",Chrome 143.0.7499.170,,,09-01-2026 19:19:23,09-01-2026 19:19:44,21.021s,PASSED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR3_3Star,Chrome 143.0.7499.170,Create Review with 3 Star Rating,"3star,review,create",09-01-2026 19:19:44,09-01-2026 19:20:05,21.584s,PASSED
reviewKW = new review.Review_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:19:44,09-01-2026 19:19:44,0.003s,PASSED
"reviewKW.createReview(""Test User 3Star"", 3, ""Review with 3 star rating"")",Chrome 143.0.7499.170,,,09-01-2026 19:19:44,09-01-2026 19:20:05,21.546s,PASSED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR4_4Star,Chrome 143.0.7499.170,Create Review with 4 Star Rating,"4star,review,create",09-01-2026 19:20:05,09-01-2026 19:20:27,21.756s,PASSED
reviewKW = new review.Review_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 19:20:05,09-01-2026 19:20:05,0.003s,PASSED
"reviewKW.createReview(""Test User 4Star"", 4, ""Review with 4 star rating"")",Chrome 143.0.7499.170,,,09-01-2026 19:20:05,09-01-2026 19:20:27,21.717s,PASSED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR5_5Star,Chrome 143.0.7499.170,Create Review with 5 Star Rating,"review,5star,create",09-01-2026 19:20:27,09-01-2026 19:20:48,21.208s,PASSED
