Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Admin_Complete,Edge Chromium 148.0.3967.54,"Complete Admin Test Suite - All User, Property, Review, and Filter Management Tests",,15-05-2026 22:53:26,15-05-2026 23:03:58,10m - 32.506s,ERROR
,,,,,,,
Test Cases/Admin/TC_ADM_AdminAccessRequired,Edge Chromium 148.0.3967.54,Test Case: Admin Access Required - Verifies that only admin users can access the Users Management page,"security,access,admin,users",15-05-2026 22:53:28,15-05-2026 22:53:58,30.243s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:31,15-05-2026 22:53:37,6.430s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:37,15-05-2026 22:53:37,0.186s,PASSED
userHelper = new admin.User_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:37,15-05-2026 22:53:38,0.082s,PASSED
"usersUrl = ""http://localhost:5173/admin/users""",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:38,15-05-2026 22:53:38,0.020s,PASSED
"loginUrl = ""http://localhost:5173/login""",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:38,15-05-2026 22:53:38,0.006s,PASSED
"homeUrl = ""http://localhost:5173""",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:38,15-05-2026 22:53:38,0.000s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:38,15-05-2026 22:53:55,17.351s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:55,15-05-2026 22:53:58,3.346s,PASSED
,,,,,,,
Test Cases/Admin/UserManagement/TC_ADM_USER_001_ViewUsersPage,Edge Chromium 148.0.3967.54,Test Case: View Users Management Page - Verifies that admin can access and view the Users Management page,"admin,users,view,positive",15-05-2026 22:53:58,15-05-2026 22:54:13,14.629s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:59,15-05-2026 22:54:00,1.102s,PASSED
