Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Agent_Complete,Edge Chromium 148.0.3967.54,Complete Agent Test Suite - All CRUD Operations for Agent Management,,15-05-2026 22:53:27,15-05-2026 23:01:10,7m - 42.568s,FAILED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_001_Create_Agent_Valid_Data,Edge Chromium 148.0.3967.54,Verify that an agent can be created successfully with valid data,,15-05-2026 22:53:29,15-05-2026 22:54:56,1m - 26.904s,PASSED
Browser_Keywords().openBrowserWithFallback(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:32,15-05-2026 22:53:40,7.733s,PASSED
agentHelper = new agent.Agent_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:40,15-05-2026 22:53:40,0.095s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:40,15-05-2026 22:53:40,0.066s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:40,15-05-2026 22:54:55,1m - 15.156s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:55,15-05-2026 22:54:56,0.716s,PASSED
,,,,,,,
Test Cases/Agent/Create/TC_AGENT_002_Create_Agent_Duplicate_Email,Edge Chromium 148.0.3967.54,Verify that creating an agent with duplicate email returns an error,,15-05-2026 22:54:56,15-05-2026 22:56:34,1m - 38.090s,PASSED
Browser_Keywords().openBrowserWithFallback(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:56,15-05-2026 22:54:58,1.276s,PASSED
agentHelper = new agent.Agent_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:58,15-05-2026 22:54:58,0.003s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:58,15-05-2026 22:54:58,0.003s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:58,15-05-2026 22:56:33,1m - 35.183s,PASSED
