Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Authentication_Complete,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:27,15-05-2026 23:01:16,7m - 48.381s,FAILED
,,,,,,,
Test Cases/Authentication/ResetPassword/TC_AUTH_035_ResetPassword_Page_Elements,Edge Chromium 148.0.3967.54,Verify all required Reset Password page elements are present with valid token,,15-05-2026 22:53:30,15-05-2026 22:53:54,23.455s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:32,15-05-2026 22:53:39,7.084s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:39,15-05-2026 22:53:40,0.411s,PASSED
resetPasswordHelper = new authentication.ResetPassword_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:40,15-05-2026 22:53:40,0.053s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:40,15-05-2026 22:53:46,6.543s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:46,15-05-2026 22:53:54,7.317s,PASSED
,,,,,,,
Test Cases/Authentication/ResetPassword/TC_AUTH_034_ResetPassword_Invalid_Token,Edge Chromium 148.0.3967.54,Verify password reset fails with invalid token,"negative,reset-password,authentication",15-05-2026 22:53:54,15-05-2026 22:54:08,14.698s,FAILED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:54,15-05-2026 22:53:55,1.089s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:55,15-05-2026 22:53:55,0.071s,PASSED
resetPasswordHelper = new authentication.ResetPassword_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:55,15-05-2026 22:53:55,0.010s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:55,15-05-2026 22:54:08,12.744s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:08,15-05-2026 22:54:08,0.609s,FAILED
,,,,,,,
Test Cases/Authentication/ResetPassword/TC_AUTH_033_ResetPassword_Password_Mismatch,Edge Chromium 148.0.3967.54,Verify password reset fails with mismatched passwords,"negative,reset-password,validation,authentication",15-05-2026 22:54:08,15-05-2026 22:54:22,13.807s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:08,15-05-2026 22:54:09,0.873s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:09,15-05-2026 22:54:09,0.090s,PASSED
resetPasswordHelper = new authentication.ResetPassword_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:09,15-05-2026 22:54:09,0.030s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:09,15-05-2026 22:54:19,9.805s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:19,15-05-2026 22:54:22,2.899s,PASSED
,,,,,,,
