Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DeveloperProperties_Complete,Edge Chromium 148.0.3967.54,Complete Developer Properties Test Suite - All Project and Property Management Tests,,15-05-2026 22:53:29,15-05-2026 23:03:04,9m - 34.773s,FAILED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_001_Create_Project_Valid_Data,Edge Chromium 148.0.3967.54,Verify successful creation of a project with valid data,"developer-properties,projects,positive",15-05-2026 22:53:32,15-05-2026 22:54:18,45.949s,FAILED
"DATA BINDING - {""(Default) devel..."":""507f1f77bcf86cd799439011"",""(Default) proje..."":""New York, NY""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:34,15-05-2026 22:53:41,7.860s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:41,15-05-2026 22:53:42,0.165s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:42,15-05-2026 22:53:42,0.054s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:42,15-05-2026 22:54:17,35.271s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:17,15-05-2026 22:54:17,0.031s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:17,15-05-2026 22:54:18,0.784s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_003_Get_All_Projects,Edge Chromium 148.0.3967.54,Verify retrieval of all projects,"developer-properties, projects, positive",15-05-2026 22:54:18,15-05-2026 22:55:05,47.534s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:18,15-05-2026 22:54:19,1.301s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:19,15-05-2026 22:54:19,0.017s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:19,15-05-2026 22:54:19,0.014s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:19,15-05-2026 22:55:05,45.285s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:05,15-05-2026 22:55:05,0.763s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_004_Get_Project_By_Valid_Id,Edge Chromium 148.0.3967.54,Verify retrieval of a project by valid ID,"developer-properties, projects, positive",15-05-2026 22:55:05,15-05-2026 22:55:38,32.495s,PASSED
"DATA BINDING - {""(Default) proje..."":""507f1f77bcf86cd799439011""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:05,15-05-2026 22:55:07,1.095s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:07,15-05-2026 22:55:07,0.003s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:07,15-05-2026 22:55:07,0.006s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:07,15-05-2026 22:55:37,29.987s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:37,15-05-2026 22:55:38,1.204s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_005_Get_Project_By_Invalid_Id,Edge Chromium 148.0.3967.54,Verify error handling when retrieving project by invalid ID,"developer-properties, projects, negative",15-05-2026 22:55:38,15-05-2026 22:55:55,16.741s,FAILED
"DATA BINDING - {""(Default) proje..."":""invalid_project_id""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:38,15-05-2026 22:55:39,1.019s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:39,15-05-2026 22:55:39,0.002s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:39,15-05-2026 22:55:54,14.532s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:54,15-05-2026 22:55:54,0.005s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:54,15-05-2026 22:55:55,0.916s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_007_Delete_Project_Valid_Id,Edge Chromium 148.0.3967.54,Verify successful deletion of a project with valid ID,"developer-properties,projects,positive",15-05-2026 22:55:55,15-05-2026 22:56:31,36.455s,FAILED
"DATA BINDING - {""(Default) proje..."":""507f1f77bcf86cd799439011""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:55,15-05-2026 22:55:56,0.848s,PASSED
