Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Notification_Complete,Edge Chromium 148.0.3967.54,Complete test suite for Notifications - All notification test cases,,15-05-2026 22:53:29,15-05-2026 22:56:11,2m - 41.389s,FAILED
,,,,,,,
Test Cases/Notification/TC_NOTIF_001_ViewNotifications,Edge Chromium 148.0.3967.54,View notifications page and verify notifications are displayed,"notification,view,positive",15-05-2026 22:53:32,15-05-2026 22:54:05,32.560s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:34,15-05-2026 22:53:34,0.076s,PASSED
notif.loginAsReviewUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:34,15-05-2026 22:53:51,17.362s,PASSED
notif.navigateToNotifications(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:51,15-05-2026 22:54:05,13.399s,FAILED
,,,,,,,
Test Cases/Notification/TC_NOTIF_002_MarkAsRead,Edge Chromium 148.0.3967.54,Mark an unread notification as read,"notification,mark-read,positive",15-05-2026 22:54:05,15-05-2026 22:54:17,12.190s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:05,15-05-2026 22:54:05,0.000s,PASSED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:05,15-05-2026 22:54:05,0.022s,PASSED
reviewKW.loginAsUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:05,15-05-2026 22:54:14,8.547s,PASSED
reviewKW.navigateToWriteReview(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:14,15-05-2026 22:54:17,3.423s,FAILED
,,,,,,,
Test Cases/Notification/TC_NOTIF_003_DeleteNotification,Edge Chromium 148.0.3967.54,Delete a notification from the list,"notification,positive,delete",15-05-2026 22:54:17,15-05-2026 22:54:31,14.095s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:17,15-05-2026 22:54:17,0.004s,PASSED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:17,15-05-2026 22:54:17,0.002s,PASSED
reviewKW.loginAsUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:17,15-05-2026 22:54:28,10.576s,PASSED
reviewKW.navigateToWriteReview(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:28,15-05-2026 22:54:31,3.433s,FAILED
,,,,,,,
Test Cases/Notification/Triggers/TC_NOTIF_TRIG_001_ReviewPosted,Edge Chromium 148.0.3967.54,Verify notification is created when a review is posted,,15-05-2026 22:54:31,15-05-2026 22:54:56,24.710s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:32,15-05-2026 22:54:32,0.006s,PASSED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:32,15-05-2026 22:54:32,0.008s,PASSED
notif.loginAsReviewUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:32,15-05-2026 22:54:42,10.725s,PASSED
notif.navigateToNotifications(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:42,15-05-2026 22:54:56,13.534s,FAILED
,,,,,,,
Test Cases/Notification/Triggers/TC_NOTIF_TRIG_002_PropertySell,Edge Chromium 148.0.3967.54,Verify notification is created when a property is listed for sale,,15-05-2026 22:54:56,15-05-2026 22:55:20,23.901s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:56,15-05-2026 22:54:56,0.014s,PASSED
sellKW = new propertyservice.Sell_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:56,15-05-2026 22:54:56,0.054s,PASSED
notif.loginAsReviewUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:56,15-05-2026 22:55:06,9.802s,PASSED
notif.navigateToNotifications(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:06,15-05-2026 22:55:20,13.565s,FAILED
,,,,,,,
Test Cases/Notification/Triggers/TC_NOTIF_TRIG_003_PropertyRent,Edge Chromium 148.0.3967.54,Verify notification is created when user contacts seller about rental property,,15-05-2026 22:55:20,15-05-2026 22:55:44,24.058s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:20,15-05-2026 22:55:20,0.004s,PASSED
notif.loginAsReviewUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:20,15-05-2026 22:55:30,10.304s,PASSED
notif.navigateToNotifications(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:30,15-05-2026 22:55:44,13.463s,FAILED
,,,,,,,
Test Cases/Notification/Triggers/TC_NOTIF_TRIG_004_PropertyBuy,Edge Chromium 148.0.3967.54,Verify notification is created when user contacts seller about property for sale,,15-05-2026 22:55:44,15-05-2026 22:56:10,25.734s,FAILED
notif = new notification.NotificationHelper(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:44,15-05-2026 22:55:44,0.005s,PASSED
notif.loginAsReviewUser(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:44,15-05-2026 22:55:56,11.911s,PASSED
notif.navigateToNotifications(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:56,15-05-2026 22:56:10,13.690s,FAILED
