Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PropertyService_Complete,Edge Chromium 148.0.3967.54,Complete test suite for Property Service - 30 tests (TC_PROP_001 to TC_PROP_030),,15-05-2026 22:53:30,15-05-2026 23:00:32,7m - 2.657s,FAILED
,,,,,,,
Test Cases/PropertyService/BuyPage/TC_PROP_001_Browse_Buy_Page,Edge Chromium 148.0.3967.54,Verify user can browse properties on Buy page,,15-05-2026 22:53:33,15-05-2026 22:53:53,20.943s,PASSED
propsHelper = new propertyservice.Properties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:34,15-05-2026 22:53:34,0.281s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:34,15-05-2026 22:53:47,12.808s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:47,15-05-2026 22:53:53,6.163s,PASSED
,,,,,,,
Test Cases/PropertyService/BuyPage/TC_PROP_002_Search_Buy_Page,Edge Chromium 148.0.3967.54,Verify user can search properties on Buy page,,15-05-2026 22:53:53,15-05-2026 22:54:16,22.307s,FAILED
propsHelper = new propertyservice.Properties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:54,15-05-2026 22:53:54,0.006s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:53:54,15-05-2026 22:54:15,21.586s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:15,15-05-2026 22:54:15,0.046s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:15,15-05-2026 22:54:16,0.598s,PASSED
,,,,,,,
Test Cases/PropertyService/BuyPage/TC_PROP_003_Search_No_Results,Edge Chromium 148.0.3967.54,Verify no results message when search has no matches,,15-05-2026 22:54:16,15-05-2026 22:54:27,10.977s,PASSED
propsHelper = new propertyservice.Properties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:16,15-05-2026 22:54:16,0.003s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:16,15-05-2026 22:54:26,9.880s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:26,15-05-2026 22:54:27,1.004s,PASSED
,,,,,,,
Test Cases/PropertyService/BuyPage/TC_PROP_004_Combined_Filters,Edge Chromium 148.0.3967.54,Verify combined filters work on Buy page,,15-05-2026 22:54:27,15-05-2026 22:54:40,13.646s,PASSED
propsHelper = new propertyservice.Properties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:27,15-05-2026 22:54:27,0.003s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:27,15-05-2026 22:54:40,13.094s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:40,15-05-2026 22:54:40,0.387s,PASSED
,,,,,,,
Test Cases/PropertyService/BuyPage/TC_PROP_005_Clear_Filters,Edge Chromium 148.0.3967.54,Verify clear filters resets property list,,15-05-2026 22:54:40,15-05-2026 22:54:52,11.892s,PASSED
propsHelper = new propertyservice.Properties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:54:40,15-05-2026 22:54:40,0.000s,PASSED
