Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Review_Complete,Edge Chromium 148.0.3967.54,Complete Review Test Suite - All Review Creation and Deletion Tests,,15-05-2026 22:56:16,15-05-2026 22:58:41,2m - 25.462s,FAILED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR1_1Star,Edge Chromium 148.0.3967.54,Create Review with 1 Star Rating,"review,create,1star",15-05-2026 22:56:16,15-05-2026 22:56:30,13.947s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:17,15-05-2026 22:56:17,0.086s,PASSED
"reviewKW.createReview(""Test User 1Star"", 1, ""Review with 1 star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:17,15-05-2026 22:56:30,13.222s,FAILED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR2_2Star,Edge Chromium 148.0.3967.54,Create Review with 2 Star Rating,"2star,review,create",15-05-2026 22:56:30,15-05-2026 22:56:43,12.735s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:31,15-05-2026 22:56:31,0.005s,PASSED
"reviewKW.createReview(""Test User 2Star"", 2, ""Review with 2 star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:31,15-05-2026 22:56:43,12.629s,FAILED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR3_3Star,Edge Chromium 148.0.3967.54,Create Review with 3 Star Rating,"3star,review,create",15-05-2026 22:56:43,15-05-2026 22:56:55,11.940s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:43,15-05-2026 22:56:43,0.003s,PASSED
"reviewKW.createReview(""Test User 3Star"", 3, ""Review with 3 star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:43,15-05-2026 22:56:55,11.857s,FAILED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR4_4Star,Edge Chromium 148.0.3967.54,Create Review with 4 Star Rating,"4star,review,create",15-05-2026 22:56:55,15-05-2026 22:57:07,11.743s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:55,15-05-2026 22:56:55,0.008s,PASSED
"reviewKW.createReview(""Test User 4Star"", 4, ""Review with 4 star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:55,15-05-2026 22:57:07,11.657s,FAILED
,,,,,,,
Test Cases/Review/Create/TC_Review_CR5_5Star,Edge Chromium 148.0.3967.54,Create Review with 5 Star Rating,"review,5star,create",15-05-2026 22:57:07,15-05-2026 22:57:18,10.990s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:07,15-05-2026 22:57:07,0.000s,PASSED
"reviewKW.createReview(""Test User 5Star"", 5, ""Review with 5 star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:07,15-05-2026 22:57:18,10.957s,FAILED
,,,,,,,
Test Cases/Review/Delete/TC_Review_DEL1_DeleteLast,Edge Chromium 148.0.3967.54,Delete Last Review (Admin Only),"review,admin,delete",15-05-2026 22:57:18,15-05-2026 22:57:43,25.263s,PASSED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:18,15-05-2026 22:57:18,0.005s,PASSED
reviewKW.adminDeleteLastReview(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:18,15-05-2026 22:57:43,25.170s,PASSED
,,,,,,,
Test Cases/Review/Validation/TC_Review_VAL1_EmptyReviewerName,Edge Chromium 148.0.3967.54,Validation Test - Submit review with empty reviewer name,"negative,review,validation",15-05-2026 22:57:43,15-05-2026 22:57:54,11.060s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:43,15-05-2026 22:57:43,0.000s,PASSED
"reviewKW.submitReviewWithEmptyName(5, ""This review has no reviewer name"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:43,15-05-2026 22:57:54,11.014s,FAILED
,,,,,,,
Test Cases/Review/Validation/TC_Review_VAL2_MissingAgent,Edge Chromium 148.0.3967.54,Validation Test - Submit review without selecting agent,"negative,review,validation",15-05-2026 22:57:54,15-05-2026 22:58:06,11.714s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:54,15-05-2026 22:57:54,0.014s,PASSED
"reviewKW.submitReviewWithoutAgent(""Test Reviewer"", 4, ""Review without agent selection"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:57:54,15-05-2026 22:58:06,11.664s,FAILED
,,,,,,,
Test Cases/Review/Validation/TC_Review_VAL3_MissingStarRating,Edge Chromium 148.0.3967.54,Validation Test - Submit review without star rating,"negative,review,validation",15-05-2026 22:58:06,15-05-2026 22:58:18,12.145s,FAILED
reviewKW = new review.Review_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:58:06,15-05-2026 22:58:06,0.003s,PASSED
"reviewKW.submitReviewWithoutRating(""Test Reviewer"", ""Review without star rating"")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:58:06,15-05-2026 22:58:18,12.082s,FAILED
,,,,,,,
Test Cases/Review/Validation/TC_Review_VAL4_EmptyReviewText,Edge Chromium 148.0.3967.54,Validation Test - Submit review with empty review text,"negative,review,validation",15-05-2026 22:58:18,15-05-2026 22:58:30,11.830s,FAILED
