Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DeveloperProperties_Smoke,Edge Chromium 148.0.3967.54,"Smoke Test Suite - Critical Developer Properties Tests (Create Project, Create Property, View)",,15-05-2026 23:19:44,15-05-2026 23:21:50,2m - 5.376s,FAILED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_001_Create_Project_Valid_Data,Edge Chromium 148.0.3967.54,Verify successful creation of a project with valid data,"developer-properties,projects,positive",15-05-2026 23:19:47,15-05-2026 23:20:33,45.227s,FAILED
"DATA BINDING - {""(Default) devel..."":""507f1f77bcf86cd799439011"",""(Default) proje..."":""New York, NY""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:48,15-05-2026 23:19:52,4.054s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:52,15-05-2026 23:19:52,0.064s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:52,15-05-2026 23:19:52,0.015s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:52,15-05-2026 23:20:32,39.303s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:32,15-05-2026 23:20:32,0.031s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:32,15-05-2026 23:20:33,0.806s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_003_Get_All_Projects,Edge Chromium 148.0.3967.54,Verify retrieval of all projects,"developer-properties, projects, positive",15-05-2026 23:20:33,15-05-2026 23:21:20,47.083s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:33,15-05-2026 23:20:34,0.937s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:34,15-05-2026 23:20:34,0.002s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:34,15-05-2026 23:20:34,0.006s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:34,15-05-2026 23:21:18,44.511s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:18,15-05-2026 23:21:20,1.540s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_004_Get_Project_By_Valid_Id,Edge Chromium 148.0.3967.54,Verify retrieval of a project by valid ID,"developer-properties, projects, positive",15-05-2026 23:21:20,15-05-2026 23:21:50,30.090s,PASSED
"DATA BINDING - {""(Default) proje..."":""507f1f77bcf86cd799439011""}",,,,,,,
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:20,15-05-2026 23:21:21,0.858s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:21,15-05-2026 23:21:21,0.001s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:21,15-05-2026 23:21:21,0.004s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:21,15-05-2026 23:21:49,28.824s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:49,15-05-2026 23:21:50,0.303s,PASSED
