Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Navigation_Smoke,Edge Chromium 148.0.3967.54,Smoke test suite for Navigation - Critical navigation paths,,15-05-2026 23:19:45,15-05-2026 23:21:01,1m - 15.904s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_001_NavigateToBuy,Edge Chromium 148.0.3967.54,Navigate to Buy page from home using main navigation,"navigation,main-nav,positive",15-05-2026 23:19:48,15-05-2026 23:20:08,20.704s,PASSED
navKW = new navigation.Navigation_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:48,15-05-2026 23:19:48,0.021s,PASSED
navKW.openHomePage(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:48,15-05-2026 23:19:57,8.467s,PASSED
"navKW.clickMainNavLink(""Buy"")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:19:57,15-05-2026 23:20:01,4.569s,PASSED
"navKW.verifyCurrentUrl(""/buy"")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:01,15-05-2026 23:20:01,0.109s,PASSED
closeBrowser(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:01,15-05-2026 23:20:08,6.983s,PASSED
,,,,,,,
Test Cases/Navigation/MainNav/TC_NAV_006_NavigateToHome,Edge Chromium 148.0.3967.54,Navigate back to Home page by clicking logo,"navigation,main-nav,positive",15-05-2026 23:20:08,15-05-2026 23:20:19,10.400s,PASSED
navKW = new navigation.Navigation_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:09,15-05-2026 23:20:09,0.001s,PASSED
navKW.openHomePage(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:09,15-05-2026 23:20:13,4.130s,PASSED
"navKW.clickMainNavLink(""Buy"")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:13,15-05-2026 23:20:16,3.025s,PASSED
navKW.clickLogo(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:16,15-05-2026 23:20:18,2.745s,PASSED
"navKW.verifyCurrentUrl(""/"")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:18,15-05-2026 23:20:18,0.034s,PASSED
closeBrowser(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:20:18,15-05-2026 23:20:19,0.419s,PASSED
,,,,,,,
Test Cases/Navigation/UserMenu/TC_NAV_008_NavigateToProfile,Edge Chromium 148.0.3967.54,Navigate to Profile page from user dropdown menu,"navigation,user-menu,positive",15-05-2026 23:20:19,15-05-2026 23:20:37,18.051s,PASSED
